Time,F1_Actual,F1_Approximation,F1_RelativeError,F2_Actual,F2_Approximation,F2_RelativeError,F3_Actual,F3_Approximation,F3_RelativeError
0.000100,0.000200,0.000200,0.000000,1.000000,1.000000,0.000000,-9.210340,-9.210340,0.000000
0.010110,0.020220,0.020220,0.000009,0.999949,0.991577,0.008373,-4.594239,91.389810,20.892262
0.020120,0.040238,0.040238,0.000016,0.999798,0.983199,0.016602,-3.906050,92.382409,24.651108
0.030130,0.060255,0.060249,0.000091,0.999546,0.974868,0.024689,-3.502243,92.880760,27.520365
0.040140,0.080269,0.080251,0.000216,0.999195,0.966583,0.032637,-3.215391,93.213406,29.989758
0.050150,0.100278,0.100239,0.000391,0.998743,0.958345,0.040448,-2.992746,93.463034,32.229861
0.060159,0.120283,0.120209,0.000616,0.998191,0.950155,0.048123,-2.810757,93.662804,34.322986
0.070169,0.140281,0.140156,0.000891,0.997539,0.942011,0.055665,-2.656843,93.829313,36.316087
0.080179,0.160273,0.160078,0.001214,0.996787,0.933916,0.063074,-2.523490,93.972057,38.238923
0.090189,0.180256,0.179970,0.001587,0.995936,0.925868,0.070354,-2.405846,94.096971,40.111806
0.100199,0.200231,0.199828,0.002009,0.994984,0.917868,0.077505,-2.300596,94.208015,41.949394
0.110209,0.220195,0.219649,0.002479,0.993933,0.909917,0.084529,-2.205377,94.307961,43.762746
0.120219,0.240148,0.239429,0.002997,0.992782,0.902014,0.091428,-2.118441,94.398826,45.560519
0.130229,0.260090,0.259163,0.003562,0.991532,0.894161,0.098203,-2.038462,94.482122,47.349706
0.140239,0.280018,0.278849,0.004175,0.990183,0.886356,0.104856,-1.964409,94.559014,49.136112
0.150249,0.299933,0.298483,0.004835,0.988734,0.878600,0.111389,-1.895464,94.630416,50.924678
0.160259,0.319832,0.318060,0.005540,0.987186,0.870894,0.117802,-1.830967,94.697059,52.719704
0.170268,0.339715,0.337578,0.006291,0.985539,0.863237,0.124097,-1.770379,94.759539,54.525006
0.180278,0.359582,0.357033,0.007087,0.983794,0.855630,0.130275,-1.713253,94.818344,56.344038
0.190288,0.379430,0.376422,0.007928,0.981950,0.848072,0.136339,-1.659215,94.873884,58.179980
0.200298,0.399260,0.395742,0.008812,0.980007,0.840564,0.142288,-1.607948,94.926501,60.035801
0.210308,0.419069,0.414988,0.009739,0.977967,0.833107,0.148124,-1.559182,94.976488,61.914319
0.220318,0.438858,0.434159,0.010708,0.975828,0.825699,0.153848,-1.512683,95.024095,63.818238
0.230328,0.458625,0.453250,0.011719,0.973592,0.818341,0.159462,-1.468251,95.069539,65.750186
0.240338,0.478369,0.472260,0.012770,0.971258,0.811033,0.164966,-1.425710,95.113008,67.712745
0.250348,0.498089,0.491184,0.013861,0.968826,0.803776,0.170361,-1.384904,95.154665,69.708475
0.260358,0.517784,0.510021,0.014992,0.966298,0.796569,0.175649,-1.345699,95.194657,71.739934
0.270368,0.537453,0.528768,0.016161,0.963673,0.789412,0.180830,-1.307973,95.233111,73.809698
0.280377,0.557096,0.547421,0.017367,0.960951,0.782305,0.185905,-1.271618,95.270141,75.920383
0.290387,0.576711,0.565978,0.018610,0.958133,0.775249,0.190876,-1.236539,95.305849,78.074654
0.300397,0.596297,0.584438,0.019888,0.955219,0.768243,0.195742,-1.202649,95.340326,80.275248
0.310407,0.615854,0.602797,0.021201,0.952209,0.761287,0.200505,-1.169870,95.373653,82.524982
0.320417,0.635380,0.621053,0.022548,0.949104,0.754381,0.205165,-1.138132,95.405906,84.826776
0.330427,0.654874,0.639204,0.023928,0.945904,0.747526,0.209723,-1.107369,95.437151,87.183660
0.340437,0.674336,0.657248,0.025340,0.942609,0.740720,0.214181,-1.077525,95.467449,89.598794
0.350447,0.693764,0.675183,0.026783,0.939219,0.733965,0.218537,-1.048546,95.496857,92.075485
0.360457,0.713158,0.693007,0.028256,0.935736,0.727260,0.222793,-1.020383,95.525424,94.617198
0.370467,0.732517,0.710719,0.029758,0.932158,0.720605,0.226950,-0.992992,95.553198,97.227579
0.380477,0.751840,0.728316,0.031288,0.928488,0.714000,0.231008,-0.966331,95.580221,99.910471
0.390486,0.771125,0.745797,0.032846,0.924724,0.707445,0.234967,-0.940362,95.606533,102.669934
0.400496,0.790372,0.763160,0.034429,0.920868,0.700939,0.238828,-0.915051,95.632171,105.510265
0.410506,0.809580,0.780404,0.036038,0.916919,0.694483,0.242591,-0.890364,95.657168,108.436025
0.420516,0.828748,0.797528,0.037671,0.912878,0.688076,0.246256,-0.866272,95.681555,111.452063
0.430526,0.847875,0.814530,0.039328,0.908746,0.681719,0.249824,-0.842747,95.705362,114.563538
0.440536,0.866960,0.831410,0.041006,0.904523,0.675412,0.253295,-0.819763,95.728615,117.775960
0.450546,0.886003,0.848165,0.042706,0.900210,0.669153,0.256670,-0.797295,95.751340,121.095214
0.460556,0.905002,0.864796,0.044426,0.895806,0.662943,0.259947,-0.775321,95.773559,124.527600
0.470566,0.923956,0.881301,0.046166,0.891312,0.656783,0.263128,-0.753820,95.795296,128.079877
